"new_id","Date","Ocean","year"
5058,2005-10-11,"Pacific",2005
5058,2006-03-25,"Pacific",2006
5058,2007-03-30,"Pacific",2007
5058,2008-10-10,"Pacific",2008
5058,2009-03-27,"Pacific",2009
5058,2015-10-16,"Pacific",2015
5058,2016-09-25,"Pacific",2016
5060,2007-06-05,"Pacific",2007
5061,2005-11-21,"Pacific",2005
5062,2008-11-18,"Pacific",2008
5063,2010-12-04,"Pacific",2010
5067,2005-11-21,"Pacific",2005
5067,2006-05-07,"Pacific",2006
5070,2008-12-19,"Pacific",2008
5087,2007-02-15,"Pacific",2007
5087,2008-02-10,"Pacific",2008
5087,2009-02-20,"Pacific",2009
5187,2006-03-17,"Atlantic",2006
5194,2008-04-05,"Atlantic",2008
5197,2007-04-11,"Atlantic",2007
5198,2008-04-07,"Atlantic",2008
5200,2008-04-07,"Atlantic",2008
5237,2007-03-24,"Atlantic",2007
5237,2008-04-05,"Atlantic",2008
5249,2007-04-07,"Atlantic",2007
5249,2008-04-07,"Atlantic",2008
5250,2008-04-08,"Atlantic",2008
5253,2007-04-04,"Atlantic",2007
5255,2007-04-04,"Atlantic",2007
5331,2016-10-06,"Pacific",2016
5558,2015-10-17,"Pacific",2015
5627,2013-10-10,"Pacific",2013
5627,2016-10-14,"Pacific",2016
5628,2013-10-10,"Pacific",2013
5629,2013-10-10,"Pacific",2013
5630,2013-10-10,"Pacific",2013
5632,2013-10-09,"Pacific",2013
5633,2013-10-09,"Pacific",2013
5634,2014-10-29,"Pacific",2014
5634,2016-10-13,"Pacific",2016
5635,2013-10-09,"Pacific",2013
5635,2016-10-13,"Pacific",2016
5636,2013-10-08,"Pacific",2013
5636,2016-10-12,"Pacific",2016
5637,2013-10-08,"Pacific",2013
5791,2006-09-24,"Atlantic",2006
5805,2007-06-09,"Atlantic",2007
5823,2012-10-23,"Atlantic",2012
5829,2006-09-23,"Atlantic",2006
5834,2005-08-27,"Atlantic",2005
5838,2006-09-23,"Atlantic",2006
5841,2006-09-23,"Atlantic",2006
5841,2007-10-20,"Atlantic",2007
5875,2015-08-13,"Atlantic",2015
5890,2011-09-24,"Atlantic",2011
5892,2008-10-04,"Atlantic",2008
5899,2007-10-06,"Atlantic",2007
5921,2006-01-03,"Atlantic",2006
5925,2007-10-07,"Atlantic",2007
5940,2013-11-20,"Atlantic",2013
5952,2012-09-19,"Atlantic",2012
6014,2010-10-16,"Pacific",2010
6358,2015-04-26,"Pacific",2015
6382,2011-07-16,"Pacific",2011
6387,2008-08-30,"Pacific",2008
6395,2009-08-30,"Pacific",2009
6395,2010-07-04,"Pacific",2010
6395,2011-07-09,"Pacific",2011
6424,2012-06-03,"Pacific",2012
6455,2012-06-03,"Pacific",2012
6470,2013-10-02,"Pacific",2013
6568,2014-08-13,"Pacific",2014
6587,2015-08-27,"Pacific",2015
6590,2015-08-26,"Pacific",2015
6591,2015-08-25,"Pacific",2015
6596,2014-06-14,"Pacific",2014
6649,2014-06-13,"Pacific",2014
6652,2014-06-17,"Pacific",2014
6714,2013-06-21,"Pacific",2013
6714,2014-05-18,"Pacific",2014
6721,2013-06-20,"Pacific",2013
6732,2015-11-24,"Pacific",2015
6738,2015-11-23,"Pacific",2015
6792,2015-08-10,"Pacific",2015
6813,2015-05-16,"Pacific",2015
6902,2014-09-27,"Pacific",2014
6994,2015-09-17,"Indian",2015
7073,2015-09-15,"Indian",2015
7096,2007-05-16,"Indian",2007
7102,2007-09-15,"Indian",2007
7102,2008-11-12,"Indian",2008
7104,2007-09-22,"Indian",2007
7192,2003-11-20,"Atlantic",2003
7198,2011-11-19,"Atlantic",2011
7198,2012-11-18,"Atlantic",2012
7198,2013-11-17,"Atlantic",2013
7227,2007-08-27,"Atlantic",2007
7251,2007-11-09,"Pacific",2007
7427,2008-09-10,"Pacific",2008
7445,2008-09-06,"Pacific",2008
7537,2006-09-09,"Pacific",2006
7550,2006-11-28,"Pacific",2006
7574,2006-12-07,"Pacific",2006
7629,2007-06-28,"Pacific",2007
7678,2006-07-17,"Pacific",2006
7687,2006-08-14,"Pacific",2006
7710,2004-07-26,"Pacific",2004
7710,2006-08-14,"Pacific",2006
7712,2006-08-14,"Pacific",2006
7743,2006-08-17,"Pacific",2006
7747,2003-11-19,"Pacific",2003
7748,2006-08-18,"Pacific",2006
7794,2006-08-07,"Pacific",2006
7794,2007-08-09,"Pacific",2007
7802,2007-08-07,"Pacific",2007
7827,2013-05-05,"Pacific",2013
7928,2006-07-24,"Pacific",2006
7939,2013-05-09,"Pacific",2013
7939,2014-03-30,"Pacific",2014
7943,2014-03-29,"Pacific",2014
7954,2013-05-08,"Pacific",2013
7993,2013-05-10,"Pacific",2013
7993,2014-03-28,"Pacific",2014
7993,2015-04-13,"Pacific",2015
7997,2013-05-09,"Pacific",2013
7997,2014-03-27,"Pacific",2014
8016,2013-05-26,"Pacific",2013
8038,2014-04-06,"Pacific",2014
8039,2013-05-24,"Pacific",2013
8039,2014-04-06,"Pacific",2014
8177,2016-05-21,"Atlantic",2016
8289,2005-08-18,"Pacific",2005
8377,2014-10-15,"Pacific",2014
8466,2016-06-20,"Pacific",2016
8467,2014-06-22,"Pacific",2014
8505,2008-03-01,"Pacific",2008
8531,2014-07-27,"Pacific",2014
8550,2007-12-17,"Pacific",2007
8550,2008-12-30,"Pacific",2008
8550,2010-07-07,"Pacific",2010
8551,2007-12-17,"Pacific",2007
8551,2008-08-16,"Pacific",2008
8551,2010-08-10,"Pacific",2010
8558,2007-10-14,"Pacific",2007
8564,2010-08-03,"Pacific",2010
8633,2016-09-30,"Atlantic",2016
8659,2010-07-02,"Indian",2010
8968,2004-05-03,"Pacific",2004
8979,2004-04-30,"Pacific",2004
8984,2004-04-29,"Pacific",2004
8996,2004-04-10,"Pacific",2004
