"new_id","Reef_Check_ID","Lat","Long","Depth","Date","Year","Location","macro","parrot","bleaching","coral"
1979,"124.02.38.1E.10.12.51N",10.21416667,124.0439167,9,2002-02-13,2002,"Philippines",0.0375,0,NA,0.2125
1980,"75.44.12W.10.13.88N",10.23133333,-75.73533333,3,1999-07-18,1999,"Southwestern Caribbean",0.15625,2.5,NA,0.04375
1981,"123.58.10.7E.10.15.23.5N",10.25652778,123.9696389,6,2002-11-03,2002,"Philippines",0.29375,0.25,NA,0.10625
1982,"123.58.10.7E.10.15.23.5N",10.25652778,123.9696389,12,2002-11-03,2002,"Philippines",0.00625,3.25,NA,0.20625
1983,"124.4.15.3E.10.16.18.7N",10.27186111,124.0709167,6,2002-10-17,2002,"Philippines",0.0875,0,NA,0.10625
1984,"124.4.15.3E.10.16.18.7N",10.27186111,124.0709167,12,2002-10-17,2002,"Philippines",0.1125,0,NA,0.05625
1985,"123.59.96E.10.16.86.5N",10.28108333,123.9993333,6,2002-10-11,2002,"Philippines",0.1875,3.5,NA,0.30625
1986,"123.59.96E.10.16.86.5N",10.28108333,123.9993333,12,2002-10-11,2002,"Philippines",0.03125,0.5,NA,0.53125
1987,"124.2.53.9E.10.17.1N",10.28336111,124.0483056,6,2002-10-17,2002,"Philippines",0.20625,0.5,NA,0.2125
1988,"124.2.53.9E.10.17.1N",10.28336111,124.0483056,13,2002-10-17,2002,"Philippines",0.09375,0.75,NA,0.125
1989,"124.02.53.9E.10.17.00.1N",10.28336111,124.0483056,6,2004-06-07,2004,"Philippines",0,6,NA,0.175
1990,"124.02.53.9E.10.17.00.1N",10.28336111,124.0483056,11,2004-06-07,2004,"Philippines",0,0,NA,0.11875
1991,"124.0.25.1E.10.17.5.3N",10.28480556,124.0069722,6,2002-09-24,2002,"Philippines",0.175,0.5,NA,0.19375
1992,"124.0.25.1E.10.17.5.3N",10.28480556,124.0069722,12,2002-09-24,2002,"Philippines",0.00625,3.5,NA,0.475
1993,"124.0.26.6E.10.17.9.1N",10.28586111,124.0073889,5,2002-09-19,2002,"Philippines",0.0375,0.5,NA,0.35625
1994,"124.0.26.6E.10.17.9.1N",10.28586111,124.0073889,12,2002-09-19,2002,"Philippines",0.06875,2.5,NA,0.3625
1995,"124.0.46E.10.17.17.6N",10.28822222,124.0127778,6,2002-10-01,2002,"Philippines",0.09375,0.25,NA,0.19375
1996,"124.0.46E.10.17.17.6N",10.28822222,124.0127778,10,2002-10-01,2002,"Philippines",0,8.5,NA,0.35
1997,"124.00.494E.10.17.304N",10.28838889,124.0082222,4.5,2001-08-11,2001,"Philippines",0.525,2.5,NA,0.175
1998,"124.00.494E.10.17.304N",10.28838889,124.0082222,9.5,2001-08-11,2001,"Philippines",0.00625,NA,NA,0.3625
1999,"124.0.67E.10.17.397N",10.28994444,124.0111667,5,2002-10-03,2002,"Philippines",0.1125,1.5,NA,0.1125
2000,"124.0.67E.10.17.397N",10.28994444,124.0111667,12.5,2002-10-03,2002,"Philippines",0.075,1,NA,0.275
2001,"124.0.67E.10.17.397N",10.28994444,124.0111667,4,2002-10-05,2002,"Philippines",0.20625,3,NA,0.075
2002,"124.0.67E.10.17.397N",10.28994444,124.0111667,11,2002-10-05,2002,"Philippines",0.13125,1.25,NA,0.20625
2003,"124.01.266E.10.18.417N",10.30694444,124.0211111,12,2003-11-19,2003,"Philippines",0.1,1.5,NA,0.075
2004,"98.17.56.8E.10.20.33.1N",10.34252778,98.29911111,3,2013-04-12,2013,"Andaman Sea",0,NA,NA,0.0375
2005,"103.49.59.99E.10.21.57.17N",10.36588889,103.8333333,3,2010-05-23,2010,"Southeast Asia",0,NA,NA,0.0666666666666667
2006,"124.1.17E.10.24.8N",10.40222222,124.0213889,9,2002-06-05,2002,"Philippines",0.06875,2.25,NA,0.475
2007,"122.30.22.9E.10.24.13N",10.40361111,122.5063611,2.3,2006-08-26,2006,"Philippines",0,0,NA,0.5375
2008,"122.30.14.5E.10.24.26.5N",10.40736111,122.5040278,5,2006-08-26,2006,"Philippines",0,8.25,NA,0.50625
2009,"10N119E1",10.47,119.1694444,3,1998-08-28,1998,"Philippines",0,NA,NA,0.3375
2010,"10N119E4",10.49527778,119.1319444,3,1998-08-29,1998,"Philippines",0.00625,NA,NA,0.33125
2011,"10N119E2",10.50111111,119.1502778,3,1998-08-28,1998,"Philippines",0,NA,NA,0.30625
2012,"10N103E1",10.61833333,103.2916667,10,2001-04-28,2001,"Southeast Asia",0,0.75,NA,0.20625
2013,"103.17.15E.10.37.13N",10.62027778,103.2875,9,2010-05-24,2010,"Southeast Asia",0,NA,NA,0.4875
2014,"103.17.44E.10.37.41N",10.62805556,103.2955556,7,2010-05-20,2010,"Southeast Asia",0,NA,NA,0.49375
2015,"103.18.7E.10.38.14.7N",10.63741667,103.3019444,9,2009-08-31,2009,"Southeast Asia",0.0125,0,NA,0.2875
2016,"103.259114E.10.652106N",10.65211111,103.2757778,3,2013-04-10,2013,"Southeast Asia",0.00625,0.75,0,0.1125
2017,"103.15.26E.10.39.53N",10.66472222,103.2572222,8,2013-10-04,2013,"Southeast Asia",0.0125,0.5,0.5,0.275
2018,"103.258316E.10.659008N",10.67566667,103.2583056,4,2013-03-17,2013,"Southeast Asia",0.06875,20.5,0,0.25625
2019,"103.25758E.10.664718N",10.68138889,103.2575833,8,2013-03-16,2013,"Southeast Asia",0,1.25,0.25,0.16875
2020,"103.258186E.10.665942N",10.68261111,103.2581944,4,2013-03-16,2013,"Southeast Asia",0.025,8.75,0,0.04375
2021,"98.11.400E.10.41.00N",10.68333333,98.19,4,2001-02-05,2001,"Andaman Sea",0,0.25,NA,0.75625
2022,"98.14.030E.10.42.070N",10.70111111,98.23388889,3.5,2001-02-06,2001,"Andaman Sea",0.04375,1,NA,0.50625
2023,"103.216637E.10.702021N",10.70202778,103.2333056,5,2013-04-11,2013,"Southeast Asia",0.00625,0.5,0,0.11875
2024,"103.316361E.10.709121N",10.72577778,103.3330278,4,2013-04-19,2013,"Southeast Asia",0.0125,0,0,0.3625
2025,"103.311426E.10.713786N",10.73044444,103.3280833,4,2013-04-19,2013,"Southeast Asia",0.00625,0,0.75,0.41875
2026,"103.189027E.10.733602N",10.73361111,103.1890278,3,2013-02-22,2013,"Southeast Asia",0,17,0,0.24375
2027,"103.191923E.10.73539N",10.73538889,103.2085833,4,2013-03-22,2013,"Southeast Asia",0,14.25,0.25,0.21875
2028,"103.25929E.10.736733N",10.73672222,103.2759444,3,2013-04-02,2013,"Southeast Asia",0,0,0,0.05
2029,"103.181067E.10.737813N",10.73780556,103.1977222,10,2013-04-20,2013,"Southeast Asia",0,0,0,0.10625
